Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,latitude,longitude
2005,Unprovoked,USA,California,Surfing,M,26,"No injury, board bumped",N,White,36.778261,-119.417932
2005,Unprovoked,USA,Florida,Wading,M,15,Puncture wounds to foot,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,California,Surfing,M,36,No injury,N,White,36.778261,-119.417932
2005,Unprovoked,USA,California,Surfing,F,20,Leg bitten,N,White,36.778261,-119.417932
2005,Provoked,USA,Florida,Wading,M,15,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,Hawaii,Surfing,M,22,"No injury, surfboard bitten",N,Tiger   ,-14.270972,-170.132217
2005,Unprovoked,USA,Florida,Treading water/ Surfing,M,48,Five 1-inch lacerations to left foot,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,South Carolina,Body surfing,F,68,"Injuries to fingers, calf  & heel",N,NA,33.836081,-81.163725
2005,Unprovoked,USA,South Carolina,Surfing,M,18,FATAL,Y,NA,33.836081,-81.163725
2005,Unprovoked,USA,North Carolina,Wading,F,18,Calf severely lacerated,N,Bull   ,35.759573,-79.0193
2005,Unprovoked,USA,Florida,Standing / Surfing,M,62,Right foot bitten,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,California,Surfing,M,37,Lower right leg lacerated,N,White,36.778261,-119.417932
2005,Unprovoked,USA,South Carolina,Swimming,M,8,Bitten underneath left arm,N,Blacktip,33.836081,-81.163725
2005,Unprovoked,USA,Texas,Walking,M,12,Left foot bitten,N,NA,31.968599,-99.901813
2005,Unprovoked,USA,North Carolina,Surfing,M,16,Laceration on right wrist & crescent of puncture wounds on  forearm ,N,NA,35.759573,-79.0193
2005,Unprovoked,USA,South Carolina,Swimming,M,14,Puncture wounds on left foot ,N,NA,33.836081,-81.163725
2005,Unprovoked,USA,Florida,Wading,F,13,Laceration on the back of left hand & toothmarks on wrist,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,Florida,Surfing,M,61,"Right foot: Toes and back of foot, minor injury",N,NA,27.664827,-81.515754
2005,Unprovoked,USA,North Carolina,Swimming,M,22,Lacerations of left forearm,N,NA,35.759573,-79.0193
2005,Unprovoked,USA,Texas,Holding onto an inflatable boat,F,14,Left foot bitten,N,NA,31.968599,-99.901813
2005,Unprovoked,USA,Florida,Standing,M,19,Ankle bitten,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,Florida,Fishing,M,16,"Leg severely bitten, surgically amputated",N,Bull   ,27.664827,-81.515754
2005,Unprovoked,USA,Florida,Swimming with boogie board,F,14,"FATAL, leg bitten",Y,Bull   ,27.664827,-81.515754
